step,train_loss,lr,grad_norm,tokens_per_sec
1,9.82030200958252,5e-05,0.5021154284477234,1129
10,9.555073738098145,0.0005,0.5961942076683044,16021
20,8.428204536437988,0.001,0.9797783493995667,18630
30,6.769054412841797,0.001,1.2258247137069702,19212
40,5.746932506561279,0.001,0.6786561012268066,18789
50,5.085263729095459,0.001,0.4032953977584839,19134
60,4.858597755432129,0.001,0.3456686735153198,19370
70,4.626498222351074,0.001,0.3525623083114624,18761
80,4.292306900024414,0.001,0.37332016229629517,18729
90,4.202326774597168,0.001,0.33446168899536133,18448
100,3.898655414581299,0.001,0.3646596670150757,18497
110,3.871391773223877,0.001,0.3760240375995636,18552
120,3.762904405593872,0.001,0.4010341167449951,19318
130,3.5253894329071045,0.001,0.5314552783966064,18051
140,3.42706298828125,0.001,0.45646145939826965,18764
150,3.3383169174194336,0.001,0.49032464623451233,18408
160,3.145484685897827,0.001,0.49000343680381775,18274
170,3.145128011703491,0.001,0.5266883969306946,18439
180,2.9641687870025635,0.001,0.5530184507369995,18391
190,2.8516523838043213,0.001,0.5352171659469604,18706
200,2.777928590774536,0.001,0.5343058109283447,19152
210,2.7926440238952637,0.001,0.7156496047973633,17821
220,2.662473440170288,0.001,0.5889038443565369,18288
230,2.5742151737213135,0.001,0.6399099230766296,17437
240,2.500188112258911,0.001,0.6647561192512512,18138
250,2.401050329208374,0.001,0.7228304147720337,16272
260,2.2366952896118164,0.001,0.7012808918952942,16390
270,2.194941520690918,0.001,0.6404017210006714,17836
280,2.095649242401123,0.001,0.7191166281700134,18520
290,1.9481357336044312,0.001,0.7920398116111755,18608
300,1.925915002822876,0.001,0.8376563787460327,17287
310,1.7855620384216309,0.001,0.7480633854866028,18457
320,1.6659533977508545,0.001,1.0428953170776367,18773
330,1.6877506971359253,0.001,0.9035502076148987,17594
340,1.5747358798980713,0.001,0.8663265109062195,17078
350,1.4652191400527954,0.001,0.8933065533638,16665
360,1.3781111240386963,0.001,0.943743884563446,17305
370,1.2870044708251953,0.001,0.9360679388046265,18620
380,1.1935514211654663,0.001,0.9240559935569763,17039
390,1.1776448488235474,0.001,0.9555182456970215,17608
400,1.0065292119979858,0.001,0.9063860774040222,19115
410,0.9435333609580994,0.001,1.047548770904541,18745
420,0.8948996663093567,0.001,1.0515446662902832,18956
430,0.7950090765953064,0.001,1.0496002435684204,19089
440,0.7220969200134277,0.001,1.0377683639526367,18382
450,0.6361440420150757,0.001,0.956350564956665,18727
460,0.5471063852310181,0.001,1.0468685626983643,18404
470,0.4991443455219269,0.001,0.8658793568611145,19048
480,0.43453899025917053,0.001,0.8043398261070251,18951
490,0.3699137568473816,0.001,0.7858155369758606,18190
500,0.31360098719596863,0.001,0.6611575484275818,19061
510,0.28995370864868164,0.001,0.7513465285301208,19279
520,0.24748347699642181,0.001,0.7196332812309265,18837
530,0.20903551578521729,0.001,0.5976282954216003,18796
540,0.18586832284927368,0.001,0.717484176158905,18813
550,0.171645849943161,0.001,0.7572026252746582,18471
560,0.152315154671669,0.001,0.5551365613937378,18391
570,0.14244332909584045,0.001,0.5874393582344055,18887
580,0.12351220846176147,0.001,0.5099890828132629,18875
590,0.1232985109090805,0.001,0.6272682547569275,19011
600,0.11747407913208008,0.001,0.5938636660575867,15777
610,0.11030441522598267,0.001,0.6320087313652039,18405
620,0.1111849918961525,0.001,0.6196209788322449,18812
630,0.10582555085420609,0.001,0.8275322318077087,18553
640,0.09720540791749954,0.001,0.6098196506500244,19012
650,0.09270898997783661,0.001,0.6517331600189209,19137
660,0.09390447288751602,0.001,0.593895673751831,18659
670,0.07834413647651672,0.001,0.46993887424468994,18299
680,0.09744107723236084,0.001,0.871008038520813,18113
690,0.08659479022026062,0.001,0.5811964273452759,18910
700,0.10006023943424225,0.001,0.866367518901825,18032
710,0.08793281018733978,0.001,0.5287366509437561,17874
720,0.08472026884555817,0.001,0.5596705079078674,18221
730,0.08550480753183365,0.001,0.6180397272109985,18755
740,0.08167675137519836,0.001,0.5816662311553955,18510
750,0.08349287509918213,0.001,0.6606540083885193,18654
760,0.07750248908996582,0.001,0.5720254778862,415
770,0.07137399166822433,0.001,0.41661760210990906,18639
